LCSC Part Number;Manufacture Part Number;Manufacturer;Package;Customer #;Description;RoHS;Order Qty.;Min\Mult Order Qty.;Unit Price;Ext.Price;Product Link
C19078762;2920L500/24GR;LUTE;2920;F1;24V 5A 40A 10A 2920  Resettable Fuses ROHS;yes;1;5;0.1849;0.18;https://assets.lcsc.com/images/lcsc/96x96/20231113_LUTE-2920L500-24GR_C19078762_front.jpg
C2932476;CL21A106KBYQNNE;Samsung Electro-Mechanics;0805;;50V 10uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;yes;1;10;0.0686;0.07;https://assets.lcsc.com/images/lcsc/96x96/20230122_Samsung-Electro-Mechanics-CL21A106KBYQNNE_C2932476_front.jpg
C61747;CL21C221JBANNNC;Samsung Electro-Mechanics;0805;;50V 220pF C0G ±5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;yes;1;50;0.0137;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221230_Samsung-Electro-Mechanics-CL21C221JBANNNC_C61747_front.jpg
C6119901;CGA0805X5R226M350MT;HRE;0805;;35V 22uF X5R ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;yes;1;5;0.1296;0.13;https://assets.lcsc.com/images/lcsc/96x96/20230729_HRE-CGA0805X5R226M350MT_C6119901_front.jpg
C1711;CL21B104KBCNNNC;Samsung Electro-Mechanics;0805;;50V 100nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;yes;13;100;0.0069;0.09;https://assets.lcsc.com/images/lcsc/96x96/20221227_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711_front.jpg
C98192;CL21A475KBQNNNE;Samsung Electro-Mechanics;0805;;50V 4.7uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;yes;1;20;0.0238;0.02;https://assets.lcsc.com/images/lcsc/96x96/20221231_Samsung-Electro-Mechanics-CL21A475KBQNNNE_C98192_front.jpg
C46653;CL21B102KBCNNNC;Samsung Electro-Mechanics;0805;;50V 1nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;yes;1;50;0.0079;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221230_Samsung-Electro-Mechanics-CL21B102KBCNNNC_C46653_front.jpg
C1591;CL10B104KB8NNNC;Samsung Electro-Mechanics;0603;;50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS;yes;1;100;0.0026;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221227_Samsung-Electro-Mechanics-CL10B104KB8NNNC_C1591_front.jpg
C17714;0805W8F470JT5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±1% ±200ppm/? 47? 0805  Chip Resistor - Surface Mount ROHS;yes;2;100;0.0018;0.01;https://assets.lcsc.com/images/lcsc/96x96/20221228_UNI-ROYAL-Uniroyal-Elec-0805W8F470JT5E_C17714_front.jpg
C17414;0805W8F1002T5E;UNI-ROYAL(Uniroyal Elec);0805;;125mW Thick Film Resistors 150V ±100ppm/? ±1% 10k? 0805  Chip Resistor - Surface Mount ROHS;yes;14;100;0.0014;0.02;https://assets.lcsc.com/images/lcsc/96x96/20221228_UNI-ROYAL-Uniroyal-Elec-0805W8F1002T5E_C17414_front.jpg
